source_a,source_a_id,source_b,source_b_id,confidence,label,competing_candidates,abstention_reason,a_amount_paise,b_amount_paise,a_utr,b_utr,a_order_id,b_order_id
bank,bank_norm_banktxn_09p5roxgk36kr8al,merchant,merch_norm_led_ygx71q0ilybs,1.0,AUTO_MATCH,0,,67616,67616,RZWUZR7B389YMI2H,,,order_kcfajt2tc1pz
bank,bank_norm_banktxn_0fyzsxa4zydxjisx,merchant,merch_norm_led_6qsrpfh80yej,1.0,AUTO_MATCH,0,,420006,420006,25C3OGR79OV75QCD,,,order_m152nnzc556n
bank,bank_norm_banktxn_0ganmj9x0kfsqj8n,merchant,merch_norm_led_l1uzrzxsyp1b,1.0,AUTO_MATCH,0,,14778,14778,32OGGXZLIYULF67X,,,order_sypk8j58wlfu
bank,bank_norm_banktxn_0guvkubi02e3c5n4,merchant,merch_norm_led_xq5smzrb9jjt,1.0,AUTO_MATCH,0,,35873,35873,T9HA0QU3Z1LXMZ9H,,,order_rx4ij5rro66u
bank,bank_norm_banktxn_0lf7y1ijvi1k2k6l,merchant,merch_norm_led_h0q3flqat0o4,1.0,AUTO_MATCH,0,,97593,97593,DVHZPVZ8REVO8GP4,,,order_v1wmfwu1rg24
bank,bank_norm_banktxn_0odkqn69rggyrnhp,merchant,merch_norm_led_dqzzubnzzugj,1.0,AUTO_MATCH,0,,135435,135435,R8GUE5IYQGC00X7X,,,order_rxqn2xreuom6
bank,bank_norm_banktxn_0tiya4smjrgtjcou,merchant,merch_norm_led_6fomii1ph03v,1.0,AUTO_MATCH,0,,50070,50070,FXQBAB5OFV9ETGTG,,,order_saj12k3imnr9
bank,bank_norm_banktxn_0vz4zt62pxkrj8lt,merchant,merch_norm_led_3qz09rcf4ngb,1.0,AUTO_MATCH,0,,18938,18938,F5JD5K54GERUYQA6,,,order_6wc3xnw336yu
bank,bank_norm_banktxn_0yu80tezauuut77w,merchant,merch_norm_led_i8k8uwoc030s,1.0,AUTO_MATCH,0,,142295,142295,4N3AK8XNJR6F0YTC,,,order_ldatbuorzegk
bank,bank_norm_banktxn_1ba1esfmj2necg06,merchant,merch_norm_led_qhtyn3q2ecv4,1.0,AUTO_MATCH,0,,538246,538246,I313ALKXTW9KTC7D,,,order_yjhyvy1m96yi
bank,bank_norm_banktxn_1czmdub8txeb0ald,merchant,merch_norm_led_bjhxyy1vqrmt,1.0,AUTO_MATCH,0,,776309,776309,1GP23LB2JLOQYPM5,,,order_g8375vf42427
bank,bank_norm_banktxn_1dzmhuzsbqx6c79b,merchant,merch_norm_led_h5be8w0pbmfg,1.0,AUTO_MATCH,0,,390761,390761,T5O7XOAWOTGUQBDU,,,order_ux8pcyy0cah9
bank,bank_norm_banktxn_1pesnu6jl956zadv,merchant,merch_norm_led_f59puxe3vgqj,1.0,AUTO_MATCH,0,,356276,356276,ZHUIYWFO1VPNY6SE,,,order_htc6guoir5eq
bank,bank_norm_banktxn_1r1y68ms3p19xa9g,merchant,merch_norm_led_zs4ju3qvmpl2,1.0,AUTO_MATCH,0,,362824,362824,AWQZ7K6NQTJ1VG6S,,,order_ghhnw6pjhq6l
bank,bank_norm_banktxn_1xny6qu2hrzr445g,merchant,merch_norm_led_mupwf871a5bc,1.0,AUTO_MATCH,0,,182247,182247,BELVES76A881SVNR,,,order_94cuvf0obo2j
bank,bank_norm_banktxn_22mnvdcx0t8po0i0,merchant,merch_norm_led_jgtn16tk0lqp,1.0,AUTO_MATCH,0,,47001,47001,,,,order_3wv2nqzeelnm
bank,bank_norm_banktxn_26rmkrw7ocg2r0xy,merchant,merch_norm_led_cnr4lk7jwjqk,1.0,AUTO_MATCH,0,,41366,41366,CPLH4HMWPYL17GBG,,,order_6o2uectmjee1
bank,bank_norm_banktxn_275yie55c9oo66ly,merchant,merch_norm_led_hzlz3lapfb77,1.0,AUTO_MATCH,0,,63534,63534,CTJG1WW3RV2WZU2A,,,order_5oirddflq8c3
bank,bank_norm_banktxn_28gbzr4uyals7j28,merchant,merch_norm_led_l3fykvrbojw4,1.0,AUTO_MATCH,0,,75024,75024,DNRXK1HK1LQQEVLJ,,,order_ywr16ovigbdi
bank,bank_norm_banktxn_28ouj6b5pewagkob,merchant,merch_norm_led_aev9hygdr3o3,1.0,AUTO_MATCH,0,,252446,252446,8ADAFMJECVGKDRLP,,,order_t3s52o165e0e
bank,bank_norm_banktxn_2bceq1jhv1t1qr3m,merchant,merch_norm_led_vok8udzf46ak,1.0,AUTO_MATCH,0,,183987,183987,T20PB8K24SVL4TIY,,,order_ak155suwsk1j
